"filename", "language", "Python", "Shell Script", "Markdown", "comment", "blank", "total"
"c:\git\opensfdi\README.md", "Markdown", 0, 0, 2, 0, 1, 3
"c:\git\opensfdi\export_wheels.sh", "Shell Script", 0, 10, 0, 0, 2, 12
"c:\git\opensfdi\src\opensfdi\__init__.py", "Python", 8, 0, 0, 1, 4, 13
"c:\git\opensfdi\src\opensfdi\calibration.py", "Python", 90, 0, 0, 24, 46, 160
"c:\git\opensfdi\src\opensfdi\calibration2.py", "Python", 68, 0, 0, 5, 29, 102
"c:\git\opensfdi\src\opensfdi\cloud.py", "Python", 54, 0, 0, 6, 28, 88
"c:\git\opensfdi\src\opensfdi\devices\__init__.py", "Python", 7, 0, 0, 0, 4, 11
"c:\git\opensfdi\src\opensfdi\devices\board.py", "Python", 98, 0, 0, 25, 52, 175
"c:\git\opensfdi\src\opensfdi\devices\camera.py", "Python", 127, 0, 0, 34, 57, 218
"c:\git\opensfdi\src\opensfdi\devices\projector.py", "Python", 161, 0, 0, 27, 75, 263
"c:\git\opensfdi\src\opensfdi\devices\vision.py", "Python", 77, 0, 0, 10, 32, 119
"c:\git\opensfdi\src\opensfdi\image.py", "Python", 120, 0, 0, 4, 65, 189
"c:\git\opensfdi\src\opensfdi\phase\__init__.py", "Python", 7, 0, 0, 1, 4, 12
"c:\git\opensfdi\src\opensfdi\phase\shift.py", "Python", 48, 0, 0, 2, 23, 73
"c:\git\opensfdi\src\opensfdi\phase\unwrap.py", "Python", 61, 0, 0, 2, 30, 93
"c:\git\opensfdi\src\opensfdi\reconstruction.py", "Python", 103, 0, 0, 14, 51, 168
"c:\git\opensfdi\src\opensfdi\services.py", "Python", 385, 0, 0, 26, 177, 588
"c:\git\opensfdi\src\opensfdi\utils.py", "Python", 61, 0, 0, 2, 21, 84
"c:\git\opensfdi\src\test\__init__.py", "Python", 8, 0, 0, 4, 3, 15
"c:\git\opensfdi\src\test\profiling.py", "Python", 13, 0, 0, 0, 3, 16
"c:\git\opensfdi\src\test\test_camera.py", "Python", 64, 0, 0, 8, 24, 96
"c:\git\opensfdi\src\test\test_digitaltwin.py", "Python", 17, 0, 0, 1, 10, 28
"c:\git\opensfdi\src\test\test_phasecount.py", "Python", 63, 0, 0, 4, 24, 91
"c:\git\opensfdi\src\test\test_projector.py", "Python", 68, 0, 0, 2, 25, 95
"c:\git\opensfdi\src\test\test_realdata.py", "Python", 53, 0, 0, 18, 26, 97
"c:\git\opensfdi\src\test\test_spacing.py", "Python", 66, 0, 0, 27, 33, 126
"c:\git\opensfdi\src\test\test_working.py", "Python", 87, 0, 0, 22, 33, 142
"c:\git\opensfdi\src\test\utils.py", "Python", 8, 0, 0, 1, 4, 13
"Total", "-", 1922, 10, 2, 270, 886, 3090
